Test,item,result,spec lower,spec upper,fill,Test_conditions,Spring,pc_from_lim,closest_to_spec,,
Depth injection,105,6.2876,2.34,,2.25ml,Standard,Weak,,2.7,,
Depth injection,106,6.5317,2.34,,2.25ml,Standard,Strong,,2.8,,
Depth injection,107,6.3061,2.34,,2.25ml,Standard,Strong,,2.7,,
Depth injection,108,6.4711,2.34,,2.25ml,Standard,Strong,,2.8,,
Depth injection,109,6.1907,2.34,,2.25ml,Standard,Strong,,2.6,,
Depth injection,110,6.4155,2.34,,2.25ml,Standard,Strong,,2.7,,
Depth injection,111,6.2642,2.34,,2.25ml,Standard,Strong,,2.7,,
Depth injection,112,6.4181,2.34,,2.25ml,Standard,Strong,,2.7,,
Depth injection,113,6.2993,2.34,,2.25ml,Standard,Strong,,2.7,,
Depth injection,114,6.3851,2.34,,2.25ml,Standard,Strong,,2.7,,
Depth injection,115,6.3075,2.34,,2.25ml,Standard,Strong,,2.7,,
Depth injection,116,6.4063,2.34,,2.25ml,Standard,Strong,,2.7,,
Depth injection,117,6.2507,2.34,,2.25ml,Standard,Strong,,2.7,,
Depth injection,118,6.1682,2.34,,2.25ml,Standard,Strong,,2.6,,
Depth injection,119,6.4042,2.34,,2.25ml,Standard,Strong,,2.7,,
Depth injection,120,6.514,2.34,,2.25ml,Standard,Strong,,2.8,,
Depth injection,121,6.3684,2.34,,2.25ml,Standard,Strong,,2.7,,
Depth injection,122,6.2784,2.34,,2.25ml,Standard,Strong,,2.7,,
Depth injection,123,6.256,2.34,,2.25ml,Standard,Strong,,2.7,,
Depth injection,124,6.3224,2.34,,2.25ml,Standard,Strong,,2.7,,
Depth injection,125,6.4739,2.34,,2.25ml,Standard,Strong,,2.8,,
Depth injection,126,6.3637,2.34,,2.25ml,Standard,Strong,,2.7,,
Depth injection,127,6.4136,2.34,,2.25ml,Standard,Strong,,2.7,,
Depth injection,128,6.3882,2.34,,2.25ml,Standard,Strong,,2.7,,
Depth injection,129,6.413,2.34,,2.25ml,Standard,Strong,,2.7,,
Depth injection,130,6.4435,2.34,,2.25ml,Standard,Strong,,2.8,,
Depth injection,131,6.3224,2.34,,2.25ml,Standard,Strong,,2.7,,
Depth injection,132,6.389,2.34,,2.25ml,Standard,Strong,,2.7,,
Depth injection,133,6.251,2.34,,2.25ml,Standard,Strong,,2.7,,
Depth injection,134,6.4801,2.34,,2.25ml,Standard,Strong,,2.8,,
Depth injection,135,6.324,2.34,,2.25ml,Standard,Strong,,2.7,,
Depth injection,136,6.3297,2.34,,2.25ml,Standard,Strong,,2.7,,
Depth injection,137,6.423,2.34,,2.25ml,Standard,Strong,,2.7,,
Depth injection,138,6.3935,2.34,,2.25ml,Standard,Strong,,2.7,,
Depth injection,139,6.3556,2.34,,2.25ml,Standard,Strong,,2.7,,
Depth injection,140,6.3029,2.34,,2.25ml,Standard,Strong,,2.7,,
Depth injection,141,6.8104,2.34,,1ml,Warm,Weak,,2.9,,
Depth injection,142,6.7567,2.34,,1ml,Warm,Weak,,2.9,,
Depth injection,143,6.9044,2.34,,1ml,Warm,Weak,,3.0,,
Depth injection,144,6.6881,2.34,,1ml,Warm,Weak,,2.9,,
Depth injection,145,6.7977,2.34,,1ml,Warm,Weak,,2.9,,
Depth injection,146,6.7937,2.34,,1ml,Warm,Weak,,2.9,,
Depth injection,147,6.808,2.34,,1ml,Warm,Weak,,2.9,,
Depth injection,148,6.7589,2.34,,1ml,Warm,Weak,,2.9,,
Depth injection,149,6.7123,2.34,,1ml,Warm,Weak,,2.9,,
Depth injection,150,6.6835,2.34,,1ml,Warm,Weak,,2.9,,
Depth injection,151,6.6828,2.34,,1ml,Warm,Weak,,2.9,,
Depth injection,152,6.737,2.34,,1ml,Warm,Weak,,2.9,,
Depth injection,153,6.9706,2.34,,1ml,Warm,Weak,,3.0,,
Depth injection,154,7.0725,2.34,,1ml,Warm,Weak,,3.0,,
Depth injection,155,7.1233,2.34,,1ml,Warm,Weak,,3.0,,
Depth injection,156,6.9318,2.34,,1ml,Warm,Weak,,3.0,,
Depth injection,157,6.7828,2.34,,1ml,Warm,Weak,,2.9,,
Depth injection,158,6.9415,2.34,,1ml,Warm,Weak,,3.0,,
Depth injection,159,6.8231,2.34,,1ml,Warm,Weak,,2.9,,
Depth injection,160,6.8462,2.34,,1ml,Warm,Weak,,2.9,,
Depth injection,161,6.8489,2.34,,1ml,Warm,Weak,,2.9,,
Depth injection,162,6.6618,2.34,,1ml,Warm,Weak,,2.8,,
Depth injection,163,6.7323,2.34,,1ml,Warm,Weak,,2.9,,
Depth injection,164,6.8701,2.34,,1ml,Warm,Weak,,2.9,,
Depth injection,165,6.8175,2.34,,1ml,Warm,Weak,,2.9,,
Depth injection,166,6.9298,2.34,,1ml,Warm,Weak,,3.0,,
Depth injection,167,6.8958,2.34,,1ml,Warm,Weak,,2.9,,
Depth injection,168,6.8702,2.34,,1ml,Warm,Weak,,2.9,,
Depth injection,169,6.9901,2.34,,1ml,Warm,Weak,,3.0,,
Depth injection,170,6.9802,2.34,,1ml,Warm,Weak,,3.0,,
Depth injection,171,6.926,2.34,,1ml,Warm,Weak,,3.0,,
Depth injection,172,6.8547,2.34,,1ml,Warm,Weak,,2.9,,
Depth injection,173,6.8944,2.34,,1ml,Warm,Weak,,2.9,,
Depth injection,174,6.7096,2.34,,1ml,Warm,Weak,,2.9,,
Depth injection,175,6.6059,2.34,,1ml,Warm,Weak,,2.8,,
Depth injection,176,6.7592,2.34,,1ml,Warm,Strong,,2.9,,
Depth injection,177,6.9118,2.34,,1ml,Warm,Strong,,3.0,,
Depth injection,178,6.8338,2.34,,1ml,Warm,Strong,,2.9,,
Depth injection,179,6.7846,2.34,,1ml,Warm,Strong,,2.9,,
Depth injection,180,6.6934,2.34,,1ml,Warm,Strong,,2.9,,
Depth injection,181,6.8288,2.34,,1ml,Warm,Strong,,2.9,,
Depth injection,182,6.8996,2.34,,1ml,Warm,Strong,,2.9,,
Depth injection,183,6.7121,2.34,,1ml,Warm,Strong,,2.9,,
Depth injection,184,6.9362,2.34,,1ml,Warm,Strong,,3.0,,
Depth injection,185,6.984,2.34,,1ml,Warm,Strong,,3.0,,
Depth injection,186,6.6851,2.34,,1ml,Warm,Strong,,2.9,,
Depth injection,187,6.9185,2.34,,1ml,Warm,Strong,,3.0,,
Depth injection,188,6.6388,2.34,,1ml,Warm,Strong,,2.8,,
Depth injection,189,6.8827,2.34,,1ml,Warm,Strong,,2.9,,
Depth injection,190,6.8091,2.34,,1ml,Warm,Strong,,2.9,,
Depth injection,191,6.7939,2.34,,1ml,Warm,Strong,,2.9,,
Depth injection,192,6.7578,2.34,,1ml,Warm,Strong,,2.9,,
Depth injection,193,6.7997,2.34,,1ml,Warm,Strong,,2.9,,
Depth injection,194,6.7176,2.34,,1ml,Warm,Strong,,2.9,,
Depth injection,195,6.817,2.34,,1ml,Warm,Strong,,2.9,,
Depth injection,196,6.7901,2.34,,1ml,Warm,Strong,,2.9,,
Depth injection,197,6.7053,2.34,,1ml,Warm,Strong,,2.9,,
Depth injection,198,6.7347,2.34,,1ml,Warm,Strong,,2.9,,
Depth injection,199,6.7621,2.34,,1ml,Warm,Strong,,2.9,,
Depth injection,200,6.7022,2.34,,1ml,Warm,Strong,,2.9,,
Depth injection,201,6.5821,2.34,,1ml,Warm,Strong,,2.8,,
Depth injection,202,6.9721,2.34,,1ml,Warm,Strong,,3.0,,
Depth injection,203,6.8446,2.34,,1ml,Warm,Strong,,2.9,,
Depth injection,204,6.8304,2.34,,1ml,Warm,Strong,,2.9,,
Depth injection,205,6.6146,2.34,,1ml,Warm,Strong,,2.8,,
Depth injection,206,6.6763,2.34,,1ml,Warm,Strong,,2.9,,
Depth injection,207,6.9524,2.34,,1ml,Warm,Strong,,3.0,,
Depth injection,208,6.673,2.34,,1ml,Warm,Strong,,2.9,,
Depth injection,209,6.7585,2.34,,1ml,Warm,Strong,,2.9,,
Depth injection,210,6.5974,2.34,,1ml,Warm,Strong,,2.8,,
Depth injection,211,6.3925,2.34,,2.25ml,Warm,Weak,,2.7,,
Depth injection,212,6.3553,2.34,,2.25ml,Warm,Weak,,2.7,,
Depth injection,213,6.2941,2.34,,2.25ml,Warm,Weak,,2.7,,
Depth injection,214,6.353,2.34,,2.25ml,Warm,Weak,,2.7,,
Depth injection,215,6.4469,2.34,,2.25ml,Warm,Weak,,2.8,,
Depth injection,216,6.3357,2.34,,2.25ml,Warm,Weak,,2.7,,
Depth injection,217,6.4728,2.34,,2.25ml,Warm,Weak,,2.8,,
Depth injection,218,6.4551,2.34,,2.25ml,Warm,Weak,,2.8,,
Depth injection,219,6.4351,2.34,,2.25ml,Warm,Weak,,2.8,,
Depth injection,220,6.2899,2.34,,2.25ml,Warm,Weak,,2.7,,
Depth injection,221,5.8269,2.34,,2.25ml,Warm,Weak,,2.5,,
Depth injection,222,6.3625,2.34,,2.25ml,Warm,Weak,,2.7,,
Depth injection,223,6.3057,2.34,,2.25ml,Warm,Weak,,2.7,,
Depth injection,224,6.2734,2.34,,2.25ml,Warm,Weak,,2.7,,
Depth injection,225,6.4173,2.34,,2.25ml,Warm,Weak,,2.7,,
Depth injection,226,6.1783,2.34,,2.25ml,Warm,Weak,,2.6,,
Depth injection,227,6.3789,2.34,,2.25ml,Warm,Weak,,2.7,,
Depth injection,228,6.258,2.34,,2.25ml,Warm,Weak,,2.7,,
Depth injection,229,6.4986,2.34,,2.25ml,Warm,Weak,,2.8,,
Depth injection,230,6.3099,2.34,,2.25ml,Warm,Weak,,2.7,,
Depth injection,231,6.4185,2.34,,2.25ml,Warm,Weak,,2.7,,
Depth injection,232,6.384,2.34,,2.25ml,Warm,Weak,,2.7,,
Depth injection,233,6.4531,2.34,,2.25ml,Warm,Weak,,2.8,,
Depth injection,234,6.261,2.34,,2.25ml,Warm,Weak,,2.7,,
Depth injection,235,6.0548,2.34,,2.25ml,Warm,Weak,,2.6,,
Depth injection,236,6.3538,2.34,,2.25ml,Warm,Weak,,2.7,,
Depth injection,237,6.3707,2.34,,2.25ml,Warm,Weak,,2.7,,
Depth injection,238,6.3905,2.34,,2.25ml,Warm,Weak,,2.7,,
Depth injection,239,6.3726,2.34,,2.25ml,Warm,Weak,,2.7,,
Depth injection,240,6.3606,2.34,,2.25ml,Warm,Weak,,2.7,,
Depth injection,241,6.1557,2.34,,2.25ml,Warm,Weak,,2.6,,
Depth injection,242,6.3363,2.34,,2.25ml,Warm,Weak,,2.7,,
Depth injection,243,6.3028,2.34,,2.25ml,Warm,Weak,,2.7,,
Depth injection,244,6.2588,2.34,,2.25ml,Warm,Weak,,2.7,,
Depth injection,245,6.2833,2.34,,2.25ml,Warm,Weak,,2.7,,
Depth injection,246,6.0417,2.34,,2.25ml,Warm,Strong,,2.6,,
Depth injection,247,6.2358,2.34,,2.25ml,Warm,Strong,,2.7,,
Depth injection,248,6.3615,2.34,,2.25ml,Warm,Strong,,2.7,,
Depth injection,249,6.558,2.34,,2.25ml,Warm,Strong,,2.8,,
Depth injection,250,6.3911,2.34,,2.25ml,Warm,Strong,,2.7,,
Depth injection,251,6.4212,2.34,,2.25ml,Warm,Strong,,2.7,,
Depth injection,252,6.5108,2.34,,2.25ml,Warm,Strong,,2.8,,
Depth injection,253,6.4276,2.34,,2.25ml,Warm,Strong,,2.7,,
Depth injection,254,6.3685,2.34,,2.25ml,Warm,Strong,,2.7,,
Depth injection,255,6.5273,2.34,,2.25ml,Warm,Strong,,2.8,,
Depth injection,256,6.4057,2.34,,2.25ml,Warm,Strong,,2.7,,
Depth injection,257,6.5619,2.34,,2.25ml,Warm,Strong,,2.8,,
Depth injection,258,6.4911,2.34,,2.25ml,Warm,Strong,,2.8,,
Depth injection,259,6.2916,2.34,,2.25ml,Warm,Strong,,2.7,,
Depth injection,260,6.4883,2.34,,2.25ml,Warm,Strong,,2.8,,
Depth injection,261,6.2652,2.34,,2.25ml,Warm,Strong,,2.7,,
Depth injection,262,6.4125,2.34,,2.25ml,Warm,Strong,,2.7,,
Depth injection,263,6.3168,2.34,,2.25ml,Warm,Strong,,2.7,,
Depth injection,264,6.5035,2.34,,2.25ml,Warm,Strong,,2.8,,
Depth injection,265,6.4909,2.34,,2.25ml,Warm,Strong,,2.8,,
Depth injection,266,6.334,2.34,,2.25ml,Warm,Strong,,2.7,,
Depth injection,267,6.3779,2.34,,2.25ml,Warm,Strong,,2.7,,
Depth injection,268,6.1537,2.34,,2.25ml,Warm,Strong,,2.6,,
Depth injection,269,6.3737,2.34,,2.25ml,Warm,Strong,,2.7,,
Depth injection,270,6.1876,2.34,,2.25ml,Warm,Strong,,2.6,,
Depth injection,271,6.5589,2.34,,2.25ml,Warm,Strong,,2.8,,
Depth injection,272,6.3203,2.34,,2.25ml,Warm,Strong,,2.7,,
