Curve,Extension,Force
1,5.95,3.1
1,5.96,3.2
1,5.97,3.35
1,5.98,3.35
1,5.99,3.3
1,6,3.4
1,6.01,3.35
1,6.02,3.3
1,6.03,3.3
1,6.04,3.3
1,6.05,3.35
1,6.06,3.4
1,6.07,3.35
1,6.08,3.4
1,6.09,3.4
1,6.1,3.4
1,6.11,3.4
1,6.12,3.45
1,6.13,3.4
1,6.14,3.4
1,6.15,3.4
1,6.16,3.45
1,6.17,3.45
1,6.18,3.45
1,6.19,3.45
1,6.2,3.5
1,6.21,3.45
1,6.22,3.5
1,6.23,3.5
1,6.24,3.5
1,6.25,3.55
1,6.26,3.55
1,6.27,3.55
1,6.28,3.55
1,6.29,3.55
1,6.3,3.55
1,6.31,3.6
1,6.32,3.6
1,6.33,3.6
1,6.34,3.6
1,6.35,3.6
1,6.36,3.65
1,6.37,3.65
1,6.38,3.65
1,6.39,3.65
1,6.4,3.65
1,6.41,3.7
1,6.42,3.7
1,6.43,3.7
1,6.44,3.75
1,6.45,3.75
1,6.46,3.75
1,6.47,3.8
1,6.48,3.8
1,6.49,3.8
1,6.5,3.8
1,6.51,3.8
1,6.52,3.85
1,6.53,3.85
1,6.54,3.9
1,6.55,3.9
1,6.56,3.9
1,6.57,3.9
1,6.58,3.95
1,6.59,4
1,6.6,4
1,6.61,4.1
1,6.62,4.1
1,6.63,4.15
1,6.64,4.15
1,6.65,4.15
1,6.66,4.25
1,6.67,4.35
1,6.68,4.4
1,6.69,4.5
1,6.7,4.55
1,6.71,4.6
1,6.72,4.55
1,6.73,4.55
1,6.74,4.55
1,6.75,4.55
1,6.76,4.55
1,6.77,4.55
1,6.78,4.55
1,6.79,4.6
1,6.8,4.6
1,6.81,4.55
1,6.82,4.55
1,6.83,4.55
1,6.84,4.55
1,6.85,4.55
1,6.86,4.55
1,6.87,4.55
1,6.88,4.55
1,6.89,4.55
1,6.9,4.55
1,6.91,4.6
1,6.92,4.6
1,6.93,4.55
1,6.94,4.55
1,6.95,4.55
1,6.96,4.55
1,6.97,4.55
1,6.98,4.55
1,6.99,4.55
1,7,4.55
1,7.01,4.6
1,7.02,4.55
1,7.03,4.6
1,7.04,4.6
1,7.05,4.6
1,7.06,4.55
1,7.07,4.6
1,7.08,4.55
1,7.09,4.55
1,7.1,4.55
1,7.11,4.55
1,7.12,4.55
1,7.13,4.55
1,7.14,4.55
1,7.15,4.4
1,7.16,4.35
1,7.17,4.55
1,7.18,4.55
1,7.19,4.55
1,7.2,4.55
1,7.21,4.6
1,7.22,4.6
1,7.23,4.6
1,7.24,4.6
1,7.25,4.6
1,7.26,4.6
1,7.27,4.6
1,7.28,4.6
1,7.29,4.6
1,7.3,4.6
1,7.31,4.6
