Test,result,spec lower,spec upper,range,to lower,to upper,% from lim,% from lim up,closest to spec
depth of injection,6.2559,2.34,,,,,,,167.3
depth of injection,6.2346,2.34,,,,,,,166.4
depth of injection,6.3272,2.34,,,,,,,170.4
depth of injection,6.2046,2.34,,,,,,,165.2
depth of injection,6.1655,2.34,,,,,,,163.5
depth of injection,6.2823,2.34,,,,,,,168.5
depth of injection,6.0033,2.34,,,,,,,156.6
depth of injection,6.2757,2.34,,,,,,,168.2
depth of injection,6.1704,2.34,,,,,,,163.7
depth of injection,5.9461,2.34,,,,,,,154.1
depth of injection,6.2739,2.34,,,,,,,168.1
depth of injection,5.9923,2.34,,,,,,,156.1
depth of injection,6.6687,2.34,,,,,,,185
depth of injection,6.0656,2.34,,,,,,,159.2
depth of injection,5.848,2.34,,,,,,,149.9
depth of injection,6.2772,2.34,,,,,,,168.3
depth of injection,6.0269,2.34,,,,,,,157.6
depth of injection,6.1805,2.34,,,,,,,164.1
depth of injection,6.0594,2.34,,,,,,,158.9
depth of injection,6.2317,2.34,,,,,,,166.3
depth of injection,6.283,2.34,,,,,,,168.5
depth of injection,6.2723,2.34,,,,,,,168
depth of injection,6.0782,2.34,,,,,,,159.8
lock out overide,82.4,45,,,,,,,83.1
lock out overide,113.5,45,,,,,,,152.2
lock out overide,93.8,45,,,,,,,108.4
lock out overide,87.5,45,,,,,,,94.4
lock out overide,90.5,45,,,,,,,101.1
lock out overide,119.6,45,,,,,,,165.8
lock out overide,104.9,45,,,,,,,133.1
lock out overide,105.4,45,,,,,,,134.2
lock out overide,102.9,45,,,,,,,128.7
lock out overide,100.9,45,,,,,,,124.2
lock out overide,81.6,45,,,,,,,81.3
lock out overide,97.4,45,,,,,,,116.4
lock out overide,103.3,45,,,,,,,129.6
lock out overide,124.5,45,,,,,,,176.7
lock out overide,125.6,45,,,,,,,179.1
lock out overide,117.6,45,,,,,,,161.3
lock out overide,117.9,45,,,,,,,162
lock out overide,101.4,45,,,,,,,125.3
lock out overide,113.8,45,,,,,,,152.9
lock out overide,124.5,45,,,,,,,176.7
lock out overide,110.4,45,,,,,,,145.3
lock out overide,109.8,45,,,,,,,144
lock out overide,92.8,45,,,,,,,106.2
lock out overide,91,45,,,,,,,102.2
lock out overide,111.4,45,,,,,,,147.6
lock out overide,92.5,45,,,,,,,105.6
lock out overide,111.3,45,,,,,,,147.3
lock out overide,89,45,,,,,,,97.8
lock out overide,88.2,45,,,,,,,96
lock out overide,98.2,45,,,,,,,118.2
lock out overide,92.6,45,,,,,,,105.8
lock out overide,114.3,45,,,,,,,154
lock out overide,105.6,45,,,,,,,134.7
lock out overide,101,45,,,,,,,124.4
lock out overide,88,45,,,,,,,95.6
lock out overide,93.80000305,45,,,,,,,108.4
lock out overide,114.375,45,,,,,,,154.2
lock out overide,123.5,45,,,,,,,174.4
lock out overide,115.75,45,,,,,,,157.2
lock out overide,106.875,45,,,,,,,137.5
lock out overide,114.625,45,,,,,,,154.7
lock out overide,110.375,45,,,,,,,145.3
lock out overide,115.875,45,,,,,,,157.5
lock out overide,124.125,45,,,,,,,175.8
lock out overide,118.875,45,,,,,,,164.2
lock out overide,105.625,45,,,,,,,134.7
lock out overide,114.75,45,,,,,,,155
lock out overide,117.875,45,,,,,,,161.9
lock out overide,111.5,45,,,,,,,147.8
lock out overide,107.5,45,,,,,,,138.9
lock out overide,121.375,45,,,,,,,169.7
lock out overide,124.375,45,,,,,,,176.4
lock out overide,114.875,45,,,,,,,155.3
lock out overide,106.875,45,,,,,,,137.5
lock out overide,104.75,45,,,,,,,132.8
lock out overide,113.25,45,,,,,,,151.7
lock out overide,112.125,45,,,,,,,149.2
lock out overide,117.625,45,,,,,,,161.4
lock out overide,115,45,,,,,,,155.6
lock out overide,104.625,45,,,,,,,132.5
lock out overide,109.5,45,,,,,,,143.3
lock out overide,112.75,45,,,,,,,150.6
lock out overide,123.5,45,,,,,,,174.4
lock out overide,106.875,45,,,,,,,137.5
lock out overide,115.375,45,,,,,,,156.4
lock out overide,114.75,45,,,,,,,155
lock out overide,122.5,45,,,,,,,172.2
lock out overide,112.75,45,,,,,,,150.6
lock out overide,119.125,45,,,,,,,164.7
lock out overide,119.375,45,,,,,,,165.3
lock out overide,112.8,45,,,,,,,150.7
lock out overide,85,45,,,,,,,88.9
lock out overide,106.5,45,,,,,,,136.7
lock out overide,87.9,45,,,,,,,95.3
lock out overide,88.9,45,,,,,,,97.6
lock out overide,88.4,45,,,,,,,96.4
lock out overide,104,45,,,,,,,131.1
lock out overide,98.7,45,,,,,,,119.3
lock out overide,100,45,,,,,,,122.2
lock out overide,90.4,45,,,,,,,100.9
lock out overide,101,45,,,,,,,124.4
lock out overide,93.7,45,,,,,,,108.2
lock out overide,93.1,45,,,,,,,106.9
lock out overide,98.6,45,,,,,,,119.1
lock out overide,86.2,45,,,,,,,91.6
lock out overide,85.4,45,,,,,,,89.8
lock out overide,99.7,45,,,,,,,121.6
lock out overide,77.6,45,,,,,,,72.4
lock out overide,97.6,45,,,,,,,116.9
lock out overide,116.6,45,,,,,,,159.1
lock out overide,90.3,45,,,,,,,100.7
lock out overide,118.8,45,,,,,,,164
lock out overide,89.6,45,,,,,,,99.1
lock out overide,90.4,45,,,,,,,100.9
lock out overide,107.8,45,,,,,,,139.6
lock out overide,98.5,45,,,,,,,118.9
lock out overide,97.7,45,,,,,,,117.1
lock out overide,102.9,45,,,,,,,128.7
lock out overide,88.9,45,,,,,,,97.6
lock out overide,108,45,,,,,,,140
lock out overide,107.8,45,,,,,,,139.6
lock out overide,120.1,45,,,,,,,166.9
lock out overide,92.7,45,,,,,,,106
lock out overide,84.9,45,,,,,,,88.7
lock out overide,108.1,45,,,,,,,140.2
lock out overide,107.1,45,,,,,,,138
lock out overide,108.5,45,,,,,,,141.1
lock out overide,108.5,45,,,,,,,141.1
lock out overide,103.1,45,,,,,,,129.1
lock out overide,132.9,45,,,,,,,195.3
lock out overide,104.4,45,,,,,,,132
lock out overide,103.9,45,,,,,,,130.9
lock out overide,110.4,45,,,,,,,145.3
lock out overide,106.6,45,,,,,,,136.9
lock out overide,105.4,45,,,,,,,134.2
lock out overide,107.3,45,,,,,,,138.4
lock out overide,109,45,,,,,,,142.2
lock out overide,103,45,,,,,,,128.9
lock out overide,104.8,45,,,,,,,132.9
lock out overide,105.3,45,,,,,,,134
lock out overide,128.7,45,,,,,,,186
lock out overide,110.6,45,,,,,,,145.8
lock out overide,114.9,45,,,,,,,155.3
lock out overide,90.6,45,,,,,,,101.3
lock out overide,104.6,45,,,,,,,132.4
lock out overide,103,45,,,,,,,128.9
lock out overide,102.9,45,,,,,,,128.7
lock out overide,101.1,45,,,,,,,124.7
lock out overide,114.1,45,,,,,,,153.6
lock out overide,112.1,45,,,,,,,149.1
lock out overide,101.3,45,,,,,,,125.1
lock out overide,112,45,,,,,,,148.9
lock out overide,107.9,45,,,,,,,139.8
lock out overide,133.7,45,,,,,,,197.1
lock out overide,110.9,45,,,,,,,146.4
lock out overide,108.1,45,,,,,,,140.2
lock out overide,108.3,45,,,,,,,140.7
lock out overide,109.8,45,,,,,,,144
lock out overide,114,45,,,,,,,153.3
lock out overide,116.3,45,,,,,,,158.4
safe shielding of needle,7.9056,1.02,,-1.02,6.8856,-7.9056,675.1,775.1,675.1
safe shielding of needle,7.8975,1.02,,-1.02,6.8775,-7.8975,674.3,774.3,674.3
safe shielding of needle,7.9623,1.02,,-1.02,6.9423,-7.9623,680.6,780.6,680.6
safe shielding of needle,7.7279,1.02,,-1.02,6.7079,-7.7279,657.6,757.6,657.6
safe shielding of needle,7.7362,1.02,,-1.02,6.7162,-7.7362,658.5,758.5,658.5
safe shielding of needle,7.9857,1.02,,-1.02,6.9657,-7.9857,682.9,782.9,682.9
safe shielding of needle,7.8726,1.02,,-1.02,6.8526,-7.8726,671.8,771.8,671.8
safe shielding of needle,7.8985,1.02,,-1.02,6.8785,-7.8985,674.4,774.4,674.4
safe shielding of needle,7.8039,1.02,,-1.02,6.7839,-7.8039,665.1,765.1,665.1
safe shielding of needle,7.8844,1.02,,-1.02,6.8644,-7.8844,673.0,773.0,673.0
safe shielding of needle,7.7697,1.02,,-1.02,6.7497,-7.7697,661.7,761.7,661.7
safe shielding of needle,7.7968,1.02,,-1.02,6.7768,-7.7968,664.4,764.4,664.4
safe shielding of needle,8.0256,1.02,,-1.02,7.0056,-8.0256,686.8,786.8,686.8
safe shielding of needle,7.7752,1.02,,-1.02,6.7552,-7.7752,662.3,762.3,662.3
safe shielding of needle,7.8802,1.02,,-1.02,6.8602,-7.8802,672.6,772.6,672.6
safe shielding of needle,7.6636,1.02,,-1.02,6.6436,-7.6636,651.3,751.3,651.3
safe shielding of needle,7.7218,1.02,,-1.02,6.7018,-7.7218,657.0,757.0,657.0
safe shielding of needle,7.9011,1.02,,-1.02,6.8811,-7.9011,674.6,774.6,674.6
safe shielding of needle,7.6595,1.02,,-1.02,6.6395,-7.6595,650.9,750.9,650.9
safe shielding of needle,7.9307,1.02,,-1.02,6.9107,-7.9307,677.5,777.5,677.5
safe shielding of needle,7.745,1.02,,-1.02,6.725,-7.745,659.3,759.3,659.3
safe shielding of needle,8.0139,1.02,,-1.02,6.9939,-8.0139,685.7,785.7,685.7
safe shielding of needle,7.7639,1.02,,-1.02,6.7439,-7.7639,661.2,761.2,661.2
safe shielding of needle,7.7254,1.02,,-1.02,6.7054,-7.7254,657.4,757.4,657.4
safe shielding of needle,7.9565,1.02,,-1.02,6.9365,-7.9565,680.0,780.0,680.0
safe shielding of needle,7.9102,1.02,,-1.02,6.8902,-7.9102,675.5,775.5,675.5
safe shielding of needle,7.8431,1.02,,-1.02,6.8231,-7.8431,668.9,768.9,668.9
safe shielding of needle,7.7582,1.02,,-1.02,6.7382,-7.7582,660.6,760.6,660.6
safe shielding of needle,7.8091,1.02,,-1.02,6.7891,-7.8091,665.6,765.6,665.6
safe shielding of needle,7.7913,1.02,,-1.02,6.7713,-7.7913,663.9,763.9,663.9
safe shielding of needle,7.953,1.02,,-1.02,6.933,-7.953,679.7,779.7,679.7
safe shielding of needle,7.9565,1.02,,-1.02,6.9365,-7.9565,680.0,780.0,680.0
safe shielding of needle,7.8375,1.02,,-1.02,6.8175,-7.8375,668.4,768.4,668.4
safe shielding of needle,7.9832,1.02,,-1.02,6.9632,-7.9832,682.7,782.7,682.7
safe shielding of needle,7.9056,1.02,,-1.02,6.8856,-7.9056,675.1,775.1,675.1
safe shielding of needle,7.8792,1.02,,-1.02,6.8592,-7.8792,672.5,772.5,672.5
safe shielding of needle,7.8019,1.02,,-1.02,6.7819,-7.8019,664.9,764.9,664.9
safe shielding of needle,7.9082,1.02,,-1.02,6.8882,-7.9082,675.3,775.3,675.3
safe shielding of needle,7.8782,1.02,,-1.02,6.8582,-7.8782,672.4,772.4,672.4
safe shielding of needle,7.9407,1.02,,-1.02,6.9207,-7.9407,678.5,778.5,678.5
safe shielding of needle,7.7046,1.02,,-1.02,6.6846,-7.7046,655.4,755.4,655.4
safe shielding of needle,7.7231,1.02,,-1.02,6.7031,-7.7231,657.2,757.2,657.2
safe shielding of needle,7.8442,1.02,,-1.02,6.8242,-7.8442,669.0,769.0,669.0
safe shielding of needle,7.884,1.02,,-1.02,6.864,-7.884,672.9,772.9,672.9
safe shielding of needle,7.8087,1.02,,-1.02,6.7887,-7.8087,665.6,765.6,665.6
safe shielding of needle,7.7299,1.02,,-1.02,6.7099,-7.7299,657.8,757.8,657.8
