Extension,Force
3.76,39.125
3.768,39
3.776,39
3.784,38.875
3.792,38.75
3.8,38.5
3.808,38.25
3.816,38.125
3.824,37.875
3.832,37.5
3.84,37.25
3.848,36.625
3.856,36.375
3.864,36
3.872,35.75
3.88,34.75
3.888,34.25
3.896,33.875
3.904,33.375
3.912,32.75
3.92,32.125
3.928,31
3.936,30.625
3.944,30.25
3.952,29.875
3.96,29.25
3.968,28.5
3.976,27.875
3.984,27.25
3.992,27.125
4,27.125
4.008,27.125
4.016,27
4.024,27
4.032,27.125
4.04,27.125
4.048,27.375
4.056,27.5
4.064,27.5
4.072,27.625
4.08,27.875
4.088,28
4.096,28
4.104,28
4.112,28.125
4.12,28.25
4.128,28.25
4.136,28.25
4.144,28.125
4.152,28
4.16,28
4.168,27.875
4.176,27.875
4.184,27.875
4.192,27.875
4.2,28
4.208,28
4.216,28
4.224,28
4.232,28
4.24,28.125
4.248,28.25
4.256,28.25
4.264,28.25
4.272,28.375
4.28,28.375
4.288,28.375
4.296,28.375
4.304,28.375
4.312,28.375
4.32,28.625
4.328,28.75
4.336,29
4.344,29.125
4.352,29.375
4.36,29.5
4.368,29.875
4.376,30
4.384,30.25
4.392,30.375
4.4,30.625
4.408,30.875
4.416,31
4.424,31
4.432,31.125
4.44,31.25
4.448,31.375
4.456,31.5
4.464,31.625
4.472,31.75
4.48,32
4.488,32.25
4.496,32.375
4.504,32.5
4.512,32.75
4.52,33
4.528,33.25
4.536,33.375
4.544,33.5
4.552,33.5
4.56,33.625
4.568,33.625
4.576,33.75
4.584,33.75
4.592,33.75
4.6,33.625
4.608,33.5
4.616,33.5
4.624,33.375
4.632,33.125
4.64,33
4.648,33
4.656,33
4.664,33
4.672,33.125
4.68,33.125
4.688,33.125
4.696,33.125
4.704,33.125
4.712,33.25
4.72,33.25
4.728,33.25
4.736,33.25
4.744,33.25
4.752,33.125
4.76,33.125
4.768,33.125
4.776,33
4.784,33
4.792,33
4.8,32.875
4.808,32.75
4.816,32.75
4.824,32.75
4.832,32.625
4.84,32.5
4.848,32.5
4.856,32.375
4.864,32.25
4.872,32.25
4.88,32.125
4.888,32
4.896,32
4.904,31.875
4.912,31.75
4.92,31.625
4.928,31.625
4.936,31.5
4.944,31.5
4.952,31.375
4.96,31.25
4.968,31.25
4.976,31.125
4.984,31.125
4.992,31
5,31
5.008,31
5.016,30.875
5.024,30.875
5.032,30.75
5.04,30.75
5.048,30.625
5.056,30.5
5.064,30.5
5.072,30.5
5.08,30.5
5.088,30.375
5.096,30.25
5.104,30.25
5.112,30.125
5.12,29.875
5.128,29.625
5.136,29.375
5.144,29.25
5.152,29.125
5.16,29
5.168,28.875
5.176,28.75
5.184,28.75
5.192,28.625
5.2,28.5
5.208,28.5
5.216,28.375
5.224,28.25
5.232,28.125
5.24,27.875
5.248,27.875
5.256,27.75
5.264,27.75
5.272,27.625
5.28,27.5
5.288,27.25
5.296,27.125
5.304,27.125
5.312,27
5.32,26.75
5.328,26.625
5.336,26.625
5.344,26.5
5.352,26.5
5.36,26.375
5.368,26.125
5.376,26
5.384,25.875
5.392,25.875
5.4,25.75
5.408,25.625
5.416,25.5
5.424,25.5
5.432,25.375
5.44,25.125
5.448,25
5.456,25
5.464,25
5.472,24.875
5.48,24.875
5.488,24.75
5.496,24.75
5.504,24.75
5.512,24.625
5.52,24.5
5.528,24.25
5.536,24.25
5.544,24.125
5.552,24.125
5.56,23.875
5.568,23.75
5.576,23.75
5.584,23.625
5.592,23.5
5.6,23.375
5.608,23.125
5.616,23.125
5.624,23
5.632,23
5.64,22.875
5.648,22.75
5.656,22.75
5.664,22.625
5.672,22.5
5.68,22.5
5.688,22.375
5.696,22.25
5.704,22.25
5.712,22.125
5.72,22.125
5.728,21.875
5.736,21.875
5.744,21.75
5.752,21.75
5.76,21.625
5.768,21.5
5.776,21.375
5.784,21.25
5.792,21.25
5.8,21.25
5.808,21.125
5.816,21.125
5.824,21
5.832,21
5.84,20.875
5.848,20.75
5.856,20.75
5.864,20.75
5.872,20.625
5.88,20.5
5.888,20.5
5.896,20.5
5.904,20.375
5.912,20.25
5.92,20.25
5.928,20.25
5.936,20.125
5.944,20.125
5.952,20
5.96,20
5.968,20
5.976,20
5.984,19.875
5.992,19.75
6,19.75
6.008,19.75
6.016,19.875
6.024,19.875
6.032,20
6.04,20
6.048,20
6.056,20
6.064,20
6.072,20
6.08,20
6.088,20.125
6.096,20.25
6.104,20.25
6.112,20.25
6.12,20.375
6.128,20.5
6.136,20.5
6.144,20.5
6.152,20.5
6.16,20.625
6.168,20.75
6.176,20.75
6.184,20.75
6.192,20.875
6.2,21
6.208,21
6.216,21
6.224,21
6.232,21.125
6.24,21.25
6.248,21.25
6.256,21.375
6.264,21.5
6.272,21.5
6.28,21.625
6.288,21.75
6.296,21.75
6.304,21.875
6.312,22
6.32,22
6.328,22
6.336,22
6.344,22.125
6.352,22.125
6.36,22.25
6.368,22.25
6.376,22.375
6.384,22.375
6.392,22.5
6.4,22.625
6.408,22.75
6.416,22.875
6.424,22.875
6.432,22.875
6.44,22.875
6.448,23
6.456,23
6.464,23.125
6.472,23.125
6.48,23.25
6.488,23.25
6.496,23.375
6.504,23.5
6.512,23.5
6.52,23.625
6.528,23.75
6.536,23.75
6.544,23.875
6.552,23.875
6.56,24
6.568,24.125
6.576,24.25
6.584,24.25
6.592,24.375
6.6,24.5
6.608,24.5
6.616,24.625
6.624,24.625
6.632,24.75
6.64,24.75
6.648,24.875
6.656,24.875
6.664,25
6.672,25
6.68,25.125
6.688,25.25
6.696,25.25
6.704,25.375
6.712,25.375
6.72,25.5
6.728,25.5
6.736,25.625
6.744,25.625
6.752,25.625
6.76,25.625
6.768,25.75
6.776,25.75
6.784,25.75
6.792,25.75
6.8,25.875
6.808,25.875
6.816,25.875
6.824,25.875
6.832,25.875
6.84,25.875
6.848,25.875
6.856,25.875
6.864,25.75
6.872,25.75
6.88,25.75
6.888,25.75
6.896,25.75
6.904,25.75
