Test,result,spec lower,spec upper,range,to lower,to upper,% from lim,% from lim up,closest_to_spec
gap creation,2.339,1.05,2.5,1.45,1.289,0.161,88.9,11.1,0.111
gap creation,1.141,1.05,2.5,1.45,0.091,1.359,6.3,93.7,0.063
gap creation,2.22,1.05,2.5,1.45,1.17,0.28,80.7,19.3,0.193
gap creation,1.634,1.05,2.5,1.45,0.584,0.866,40.3,59.7,0.403
gap creation,1.094,1.05,2.5,1.45,0.044,1.406,3,97,0.03
gap creation,1.839,1.05,2.5,1.45,0.789,0.661,54.4,45.6,0.456
gap creation,1.607,1.05,2.5,1.45,0.557,0.893,38.4,61.6,0.384
gap creation,2.076,1.05,2.5,1.45,1.026,0.424,70.8,29.2,0.292
gap creation,1.763,1.05,2.5,1.45,0.713,0.737,49.2,50.8,0.492
gap creation,1.86,1.05,2.5,1.45,0.81,0.64,55.9,44.1,0.441
gap creation,2.371,1.05,2.5,1.45,1.321,0.129,91.1,8.9,0.089
gap creation,2.006,1.05,2.5,1.45,0.956,0.494,65.9,34.1,0.341
gap creation,1.84,1.05,2.5,1.45,0.79,0.66,54.5,45.5,0.455
gap creation,1.824,1.05,2.5,1.45,0.774,0.676,53.4,46.6,0.466
gap creation,1.785,1.05,2.5,1.45,0.735,0.715,50.7,49.3,0.493
gap creation,1.35,1.05,2.5,1.45,0.3,1.15,20.7,79.3,0.207
gap creation,1.261,1.05,2.5,1.45,0.211,1.239,14.6,85.4,0.146
gap creation,2.263,1.05,2.5,1.45,1.213,0.237,83.7,16.3,0.163
gap creation,2.173,1.05,2.5,1.45,1.123,0.327,77.4,22.6,0.226
gap creation,1.743,1.05,2.5,1.45,0.693,0.757,47.8,52.2,0.478
gap creation,1.702,1.05,2.5,1.45,0.652,0.798,45,55,0.45
gap creation,1.222,1.05,2.5,1.45,0.172,1.278,11.9,88.1,0.119
gap creation,1.196,1.05,2.5,1.45,0.146,1.304,10.1,89.9,0.101
gap creation,1.17,1.05,2.5,1.45,0.12,1.33,8.3,91.7,0.083
gap creation,2.405,1.05,2.5,1.45,1.355,0.095,93.4,6.6,0.066
gap creation,2.19,1.05,2.5,1.45,1.14,0.31,78.6,21.4,0.214
gap creation,1.185,1.05,2.5,1.45,0.135,1.315,9.3,90.7,0.093
gap creation,1.087,1.05,2.5,1.45,0.037,1.413,2.6,97.4,0.026
gap creation,2.295,1.05,2.5,1.45,1.245,0.205,85.9,14.1,0.141
gap creation,1.196,1.05,2.5,1.45,0.146,1.304,10.1,89.9,0.101
gap creation,1.486,1.05,2.5,1.45,0.436,1.014,30.1,69.9,0.301
gap creation,1.539,1.05,2.5,1.45,0.489,0.961,33.7,66.3,0.337
gap creation,1.454,1.05,2.5,1.45,0.404,1.046,27.9,72.1,0.279
gap creation,1.083,1.05,2.5,1.45,0.033,1.417,2.3,97.7,0.023
gap creation,1.431,1.05,2.5,1.45,0.381,1.069,26.3,73.7,0.263
gap creation,1.217,1.05,2.5,1.45,0.167,1.283,11.5,88.5,0.115
gap creation,1.384,1.05,2.5,1.45,0.334,1.116,23,77,0.23
gap creation,2.292,1.05,2.5,1.45,1.242,0.208,85.7,14.3,0.143
gap creation,2.475,1.05,2.5,1.45,1.425,0.025,98.3,1.7,0.017
gap creation,2.31,1.05,2.5,1.45,1.26,0.19,86.9,13.1,0.131
gap creation,1.585,1.05,2.5,1.45,0.535,0.915,36.9,63.1,0.369
gap creation,1.177,1.05,2.5,1.45,0.127,1.323,8.8,91.2,0.088
gap creation,1.562,1.05,2.5,1.45,0.512,0.938,35.3,64.7,0.353
gap creation,1.176,1.05,2.5,1.45,0.126,1.324,8.7,91.3,0.087
gap creation,2.375,1.05,2.5,1.45,1.325,0.125,91.4,8.6,0.086
gap creation,2.325,1.05,2.5,1.45,1.275,0.175,87.9,12.1,0.121
gap creation,1.266,1.05,2.5,1.45,0.216,1.234,14.9,85.1,0.149
gap creation,2.175,1.05,2.5,1.45,1.125,0.325,77.6,22.4,0.224
gap creation,1.219,1.05,2.5,1.45,0.169,1.281,11.7,88.3,0.117
gap creation,1.377,1.05,2.5,1.45,0.327,1.123,22.6,77.4,0.226
gap creation,1.204,1.05,2.5,1.45,0.154,1.296,10.6,89.4,0.106
gap creation,2.231,1.05,2.5,1.45,1.181,0.269,81.4,18.6,0.186
gap creation,2.535,1.05,2.5,1.45,1.485,-0.035,102.4,-2.4,-0.024
gap creation,1.069,1.05,2.5,1.45,0.019,1.431,1.3,98.7,0.013
gap creation,1.044,1.05,2.5,1.45,-0.006,1.456,-0.4,100.4,-0.004
gap creation,1.151,1.05,2.5,1.45,0.101,1.349,7,93,0.07
gap creation,2.202,1.05,2.5,1.45,1.152,0.298,79.4,20.6,0.206
gap creation,2.308,1.05,2.5,1.45,1.258,0.192,86.8,13.2,0.132
gap creation,1.506,1.05,2.5,1.45,0.456,0.994,31.4,68.6,0.314
gap creation,1.38,1.05,2.5,1.45,0.33,1.12,22.8,77.2,0.228
gap creation,1.159,1.05,2.5,1.45,0.109,1.341,7.5,92.5,0.075
gap creation,2.321,1.05,2.5,1.45,1.271,0.179,87.7,12.3,0.123
gap creation,1.109,1.05,2.5,1.45,0.059,1.391,4.1,95.9,0.041
gap creation,1.764,1.05,2.5,1.45,0.714,0.736,49.2,50.8,0.492
gap creation,1.93,1.05,2.5,1.45,0.88,0.57,60.7,39.3,0.393
gap creation,1.703,1.05,2.5,1.45,0.653,0.797,45,55,0.45
gap creation,1.694,1.05,2.5,1.45,0.644,0.806,44.4,55.6,0.444
gap creation,1.796,1.05,2.5,1.45,0.746,0.704,51.4,48.6,0.486
gap creation,1.904,1.05,2.5,1.45,0.854,0.596,58.9,41.1,0.411
gap creation,1.912,1.05,2.5,1.45,0.862,0.588,59.4,40.6,0.406
gap creation,1.863,1.05,2.5,1.45,0.813,0.637,56.1,43.9,0.439
gap creation,1.709,1.05,2.5,1.45,0.659,0.791,45.4,54.6,0.454
gap creation,1.878,1.05,2.5,1.45,0.828,0.622,57.1,42.9,0.429
