Extension,Force
2.8275,79.9
2.835,77.6
2.8425,75.2
2.85,72.8
2.8575,70.5
2.865,66.9
2.8725,63.4
2.88,59.8
2.8875,59.9
2.895,60.1
2.9025,60.3
2.91,60.5
2.9175,61
2.925,61.1
2.9325,61.3
2.94,61.4
2.9475,61.8
2.955,61.9
2.9625,61.9
2.97,62
2.9775,62.1
2.985,62.1
2.9925,62.2
3,62.3
3.0075,62.4
3.015,62.4
3.0225,62.5
3.03,62.6
3.0375,62.7
3.045,62.7
3.0525,62.8
3.06,62.8
3.0675,62.8
3.075,62.9
3.0825,62.9
3.09,62.9
3.0975,62.9
3.105,63
3.1125,63
3.12,63
3.1275,63
3.135,63
3.1425,63
3.15,63
3.1575,62.9
3.165,62.8
3.1725,62.8
3.18,62.7
3.1875,62.6
3.195,62.6
3.2025,62.5
3.21,62.3
3.2175,62.3
3.225,62.2
3.2325,62.2
3.24,61.9
3.2475,61.8
3.255,61.7
3.2625,61.6
3.27,61.4
3.2775,61.3
3.285,61.2
3.2925,61
3.3,60.8
3.3075,60.6
3.315,60.5
3.3225,60.3
3.33,60.1
3.3375,59.9
3.345,59.7
3.3525,59.5
3.36,59.1
3.3675,59
3.375,58.8
3.3825,58.7
3.39,58.4
3.3975,58.2
3.405,58
3.4125,57.8
3.42,57.6
3.4275,57.3
3.435,57
3.4425,56.7
3.45,56.4
3.4575,56.2
3.465,55.9
3.4725,55.7
3.48,55.4
3.4875,55
3.495,54.8
3.5025,54.7
3.51,54.6
3.5175,54.4
3.525,54.2
3.5325,53.9
3.54,53.6
3.5475,53.4
3.555,53.1
3.5625,52.8
3.57,52.5
3.5775,52.2
3.585,52
3.5925,51.7
3.6,51.5
3.6075,51.1
3.615,50.8
3.6225,50.4
3.63,50
3.6375,49.2
3.645,48.9
3.6525,48.7
3.66,48.4
3.6675,47.6
3.675,47.2
3.6825,46.8
3.69,46.5
3.6975,46.2
3.705,45.9
3.7125,45.7
3.72,45.4
3.7275,44.6
3.735,44.4
3.7425,44.2
3.75,44
3.7575,43.8
3.765,43.5
3.7725,43.2
3.78,43
3.7875,42.6
3.795,42.5
3.8025,42.4
3.81,42.3
3.8175,41.9
3.825,41.8
3.8325,41.7
3.84,41.6
3.8475,41.3
3.855,41.2
3.8625,41.1
3.87,41
3.8775,40.9
3.885,40.8
3.8925,40.7
3.9,40.5
3.9075,40.4
3.915,40.3
3.9225,40.2
3.93,40.1
3.9375,40
3.945,40
3.9525,39.9
3.96,39.8
3.9675,39.7
3.975,39.7
3.9825,39.6
3.99,39.6
3.9975,39.5
4.005,39.5
4.0125,39.4
4.02,39.2
4.0275,39.1
4.035,39
4.0425,38.9
4.05,38.8
4.0575,38.7
4.065,38.6
4.0725,38.5
4.08,38.4
4.0875,38.3
4.095,38.2
4.1025,38.2
4.11,38
4.1175,38
4.125,38
4.1325,38
4.14,37.8
4.1475,37.8
4.155,37.7
4.1625,37.7
4.17,37.6
4.1775,37.6
4.185,37.6
4.1925,37.6
4.2,37.5
4.2075,37.6
4.215,37.6
4.2225,37.7
4.23,37.7
4.2375,37.8
4.245,37.9
4.2525,38
4.26,38.3
4.2675,38.4
4.275,38.4
4.2825,38.5
4.29,38.7
4.2975,38.8
4.305,38.9
4.3125,39
4.32,39.2
4.3275,39.3
4.335,39.5
4.3425,39.7
4.35,39.8
4.3575,40
4.365,40.2
4.3725,40.4
4.38,40.5
4.3875,40.7
4.395,40.8
4.4025,40.9
4.41,41
4.4175,41.2
4.425,41.3
4.4325,41.4
4.44,41.6
4.4475,41.8
4.455,42
4.4625,42.1
4.47,42.3
4.4775,42.5
4.485,42.6
4.4925,42.8
4.5,42.9
4.5075,43.2
4.515,43.3
4.5225,43.4
4.53,43.6
4.5375,43.7
4.545,44
4.5525,44.3
4.56,44.4
4.5675,44.6
4.575,44.8
4.5825,45
4.59,45.1
4.5975,45.2
4.605,45.3
4.6125,45.3
4.62,45.4
4.6275,45.6
4.635,45.6
4.6425,45.7
4.65,45.7
4.6575,46
4.665,46.1
4.6725,46.1
4.68,46.2
4.6875,46.3
4.695,46.3
4.7025,46.4
4.71,46.5
4.7175,46.5
4.725,46.5
4.7325,46.6
4.74,46.6
4.7475,46.6
4.755,46.6
4.7625,46.6
4.77,46.6
4.7775,46.6
4.785,46.6
4.7925,46.6
4.8,46.6
4.8075,46.6
4.815,46.6
4.8225,46.6
4.83,46.6
4.8375,46.6
4.845,46.7
4.8525,46.7
4.86,46.8
4.8675,46.8
4.875,46.8
4.8825,46.8
4.89,46.8
4.8975,46.8
4.905,46.8
4.9125,46.8
4.92,46.8
4.9275,46.8
4.935,46.9
4.9425,46.9
4.95,46.9
4.9575,46.9
4.965,46.9
4.9725,46.9
4.98,46.9
4.9875,46.8
4.995,46.8
5.0025,46.8
5.01,46.8
5.0175,46.8
5.025,46.9
5.0325,46.9
5.04,46.8
5.0475,46.8
5.055,46.9
5.0625,46.9
5.07,46.9
5.0775,46.9
5.085,46.9
5.0925,46.9
5.1,46.9
5.1075,46.9
5.115,46.9
5.1225,46.9
5.13,46.9
5.1375,47
5.145,47
5.1525,47
5.16,47
5.1675,47
5.175,47
5.1825,47.1
5.19,47.1
5.1975,47.1
5.205,47
5.2125,47
5.22,47
5.2275,47.1
5.235,47
5.2425,47
5.25,47
5.2575,47
5.265,47
5.2725,47
5.28,47
5.2875,47
5.295,47.1
5.3025,47.1
5.31,47.1
5.3175,47.1
5.325,47.1
5.3325,47.1
5.34,47.1
5.3475,47.1
5.355,47
5.3625,47
5.37,47
5.3775,47.1
5.385,47.1
5.3925,47.1
5.4,47.1
5.4075,47.1
5.415,47.1
5.4225,47
5.43,47
5.4375,47
5.445,47
5.4525,47
5.46,47
5.4675,47
5.475,47
5.4825,47
5.49,47
5.4975,47
5.505,47
5.5125,46.9
5.52,46.9
5.5275,46.8
5.535,46.8
5.5425,46.7
5.55,46.7
5.5575,46.7
5.565,46.7
5.5725,46.7
5.58,46.7
5.5875,46.7
5.595,46.8
5.6025,46.8
5.61,46.8
5.6175,46.7
5.625,46.7
5.6325,46.7
5.64,46.7
5.6475,46.7
5.655,46.7
5.6625,46.7
5.67,46.7
5.6775,46.6
5.685,46.6
5.6925,46.6
5.7,46.6
5.7075,46.6
5.715,46.6
5.7225,46.6
5.73,46.6
5.7375,46.6
5.745,46.6
5.7525,46.5
5.76,46.5
5.7675,46.5
5.775,46.5
5.7825,46.5
5.79,46.4
5.7975,46.3
5.805,46.3
5.8125,46.4
5.82,46.4
5.8275,46.4
5.835,46.4
5.8425,46.4
5.85,46.3
5.8575,46.3
5.865,46.2
5.8725,46.2
5.88,46.2
5.8875,46.2
5.895,46.2
5.9025,46.1
5.91,46.1
5.9175,46.1
5.925,46.1
5.9325,46.1
5.94,46.1
5.9475,46.1
5.955,46.1
5.9625,46.1
5.97,46
5.9775,46
5.985,46
5.9925,46
6,46
6.0075,46
6.015,46
6.0225,46
6.03,46
6.0375,46
6.045,46
6.0525,46
6.06,46.1
6.0675,46.1
6.075,46.2
6.0825,46.2
6.09,46.2
6.0975,46.3
6.105,46.4
6.1125,46.4
6.12,46.5
6.1275,46.5
6.135,46.6
6.1425,46.6
6.15,46.7
6.1575,46.8
6.165,46.8
6.1725,46.8
6.18,46.9
6.1875,47
6.195,47
6.2025,47.1
6.21,47.2
6.2175,47.2
6.225,47.2
6.2325,47.3
6.24,47.4
6.2475,47.4
6.255,47.6
6.2625,47.7
6.27,47.8
6.2775,47.8
6.285,47.8
6.2925,47.9
6.3,48
6.3075,48
6.315,48
6.3225,48.1
6.33,48.1
6.3375,48.3
6.345,48.4
6.3525,48.4
6.36,48.5
6.3675,48.6
6.375,48.7
6.3825,48.7
6.39,48.8
6.3975,49
6.405,49
6.4125,49.1
6.42,49.1
6.4275,49.2
6.435,49.3
6.4425,49.3
6.45,49.4
6.4575,49.6
6.465,49.7
6.4725,49.7
6.48,49.8
6.4875,49.9
6.495,50
6.5025,50
6.51,50.1
6.5175,50.2
6.525,50.3
6.5325,50.3
6.54,50.4
6.5475,50.5
6.555,50.5
6.5625,50.6
6.57,50.6
6.5775,50.7
6.585,50.8
6.5925,50.8
6.6,50.9
6.6075,50.9
6.615,51
6.6225,51
6.63,51.2
6.6375,51.2
6.645,51.3
6.6525,51.3
6.66,51.4
6.6675,51.5
6.675,51.6
6.6825,51.7
6.69,51.8
6.6975,51.9
6.705,51.9
6.7125,52
6.72,52
6.7275,52
6.735,52.1
6.7425,52.1
6.75,52.2
6.7575,52.2
6.765,52.2
6.7725,52.2
6.78,52.3
6.7875,52.3
6.795,52.3
6.8025,52.3
6.81,52.4
6.8175,52.4
6.825,52.5
6.8325,52.6
6.84,52.6
6.8475,52.6
6.855,52.7
6.8625,52.7
6.87,52.7
6.8775,52.7
6.885,52.8
6.8925,52.8
6.9,52.8
6.9075,52.8
6.915,52.8
6.9225,52.8
6.93,52.8
6.9375,52.8
6.945,52.8
6.9525,52.9
6.96,52.9
6.9675,53
6.975,53
6.9825,53
6.99,53
6.9975,53
7.005,53
7.0125,53
7.02,53
7.0275,53
7.035,53
7.0425,53
7.05,53
7.0575,53.1
7.065,53.1
7.0725,53.1
7.08,53.1
7.0875,53.1
7.095,53.1
7.1025,53.1
7.11,53.1
7.1175,53.1
7.125,53.1
7.1325,53.1
7.14,53.1
7.1475,53
7.155,52.9
7.1625,52.8
7.17,52.8
7.1775,52.7
7.185,52.6
7.1925,52.4
7.2,52.2
7.2075,52.1
7.215,51.9
7.2225,51.7
7.23,51.6
7.2375,51.4
7.245,51.3
7.2525,51.3
7.26,51.2
7.2675,51.2
7.275,51.3
7.2825,51.4
7.29,51.4
7.2975,51.6
7.305,51.7
7.3125,51.8
7.32,51.9
7.3275,52.2
7.335,52.4
7.3425,52.5
7.35,52.6
7.3575,52.7
7.365,52.8
7.3725,52.8
7.38,52.9
7.3875,53.2
7.395,53.3
7.4025,53.4
7.41,53.5
7.4175,53.6
7.425,53.7
7.4325,53.8
7.44,53.9
7.4475,54.1
7.455,54.1
7.4625,54.2
7.47,54.2
7.4775,54.5
7.485,54.5
7.4925,54.6
7.5,54.6
